window_start,k_mgl,mg_mgl,no3_mgl,nh4_mgl,ca_mgl
1988-01-05,0.8066666666666666,2.1926666666666668,155.06666666666666,27.533333333333335,3.42
1988-03-08,0.89,1.976875,207.8125,22.125,3.084375
1988-05-10,0.8811111111111111,2.183,157.5,90.625,2.9850000000000003
1988-07-12,0.7607692307692308,1.9523076923076923,63,15.5,2.686923076923077
1988-09-13,0.7925,2.43875,140.55555555555554,50.25,3.665
1988-11-15,0.8444444444444444,2.3722222222222222,153.625,NA,4.15125
1989-01-17,0.9088888888888889,2.783333333333333,130.11111111111111,NA,4.293333333333333
1989-03-21,0.8544444444444445,2.738888888888889,141.88888888888889,NA,4.444444444444445
1989-05-23,0.9477777777777777,2.901111111111111,123,NA,4.5344444444444445
1989-07-25,0.9344444444444444,2.6466666666666665,88.375,NA,4.042222222222222
1989-09-26,1.3208333333333333,3.0154545454545456,415.7142857142857,NA,4.2290909090909095
1989-11-28,1.1466666666666667,3.2266666666666666,99,NA,5.8566666666666665
1990-01-30,1.2344444444444445,3.1666666666666665,211.375,NA,5.546666666666667
1990-04-03,1.3628571428571428,2.5492857142857144,450.30769230769226,NA,4.312857142857143
1990-06-05,1.1555555555555554,3.2333333333333334,143.77777777777777,NA,5.4944444444444445
1990-08-07,0.8844444444444445,3.2688888888888887,80.83333333333334,NA,5.841111111111111
1990-10-09,1.007,2.832,108.5,NA,4.603
1990-12-11,0.983,2.988,155.375,NA,5.297
1991-02-12,0.8210000000000001,3.145,65.9,NA,5.656
1991-04-16,0.9255555555555556,2.9477777777777776,46.375,NA,5.167777777777777
1991-06-18,0.7644444444444445,3.3777777777777778,32.42857142857143,NA,5.622222222222223
1991-08-20,1.165,3.614,63.5,NA,5.84
1991-10-22,1.1407692307692308,2.716153846153846,121.6923076923077,NA,4.274615384615385
1991-12-24,1.24,2.9955555555555557,187.125,NA,4.971111111111111
1992-02-25,1.1111111111111112,3.578888888888889,79.75,NA,6.308888888888889
1992-04-28,1.031111111111111,2.59,57.125,NA,4.303333333333334
1992-06-30,1.1466666666666667,3.2455555555555557,140.625,NA,5.6066666666666665
1992-09-01,1.0655555555555556,3.517777777777778,67.71428571428571,NA,6.2
1992-11-03,0.9622222222222222,2.4955555555555557,33,NA,4.543333333333333
1993-01-05,1.1344444444444444,3.181111111111111,20,NA,4.975555555555555
1993-03-09,1.1744444444444444,3.671111111111111,137.11111111111111,NA,5.795555555555556
1993-05-11,1.1577777777777778,3.2222222222222223,28.333333333333332,NA,5.611111111111111
1993-07-13,1.0033333333333334,3.013333333333333,44.6,NA,5.467777777777778
1993-09-14,1.1211111111111112,3.3266666666666667,28.333333333333332,NA,5.921111111111111
1993-11-16,1.18,3.1688888888888886,22.166666666666668,NA,5.688888888888889
1994-01-18,1.0055555555555555,2.951111111111111,13.5,NA,5.302222222222222
1994-03-22,1.051111111111111,3.347777777777778,65.66666666666667,NA,6.14
1994-05-24,1.21,3.85,51.22222222222222,NA,6.785
1994-07-26,1.2377777777777779,3.398888888888889,NA,NA,6.015555555555555
1994-09-27,1.12,3.183333333333333,NA,NA,5.921111111111111
1994-11-29,1.008,3.036,109,NA,5.688
1988-01-05,0.8672222222222222,2.11,239.1875,18.5,4.415555555555556
1988-03-08,0.7833333333333333,2.316666666666667,192.33333333333334,27.142857142857142,4.243333333333333
1988-05-10,0.7969999999999999,2.1189999999999998,239.33333333333334,74.42857142857143,3.587
1988-07-12,0.7846666666666666,2.0286666666666666,178.33333333333334,14,3.446
1988-09-13,0.77,2.37,205,47,4.55
1988-11-15,0.8722222222222222,2.3633333333333333,220.66666666666666,NA,4.161111111111111
1989-01-17,0.9011111111111111,2.52,232.8,NA,4.592222222222222
1989-03-21,0.8766666666666667,2.8766666666666665,190.55555555555554,NA,4.467777777777778
1989-05-23,0.9522222222222222,2.5166666666666666,166.66666666666666,NA,4.615555555555556
1989-07-25,1.01,2.541111111111111,143.25,NA,4.905555555555556
1989-09-26,1.4533333333333334,2.97,419.1111111111111,NA,5.465454545454546
1989-11-28,1.2066666666666666,3.1233333333333335,239.25,NA,6.613333333333333
1990-01-30,1.3388888888888888,3.0522222222222224,188,NA,6.53
1990-04-03,1.3635714285714287,2.4907142857142857,466.7692307692308,NA,5.1971428571428575
1990-06-05,1.1311111111111112,3.2088888888888887,232.77777777777777,NA,6.776666666666666
1990-08-07,0.9255555555555556,3.2244444444444444,121.11111111111113,NA,7.187777777777778
1990-10-09,0.901,2.712,164.7,NA,5.773
1990-12-11,0.998,3.08,182.11111111111111,NA,6.782
1991-02-12,0.843,2.938,138.11111111111111,NA,6.742
1991-04-16,1.01,2.8377777777777777,35.75,NA,3.796666666666667
1991-06-18,0.9955555555555555,3.201111111111111,81,NA,5.316666666666666
1991-08-20,1.42,2.9859999999999998,88.2,NA,6.027
1991-10-22,1.273076923076923,2.7115384615384617,226.69230769230768,NA,4.760769230769231
1991-12-24,1.3033333333333332,2.924444444444444,283.8888888888889,NA,5.828888888888889
1992-02-25,1.1222222222222222,3.121111111111111,88.125,NA,5.852222222222222
1992-04-28,1.2466666666666666,2.482222222222222,124.875,NA,5.24
1992-06-30,1.23,3.26,108.22222222222223,NA,6.88
1992-09-01,1.2677777777777777,3.1655555555555557,49.125,NA,6.641111111111111
1992-11-03,1.2144444444444444,2.6044444444444443,66.28571428571429,NA,5.694444444444445
1993-01-05,1.27,3.181111111111111,135,NA,6.49
1993-03-09,1.3044444444444445,3.243333333333333,144,NA,6.347777777777778
1993-05-11,1.468888888888889,2.9611111111111112,72.75,NA,6.171111111111111
